ARIAL SDF	Fonts & Materials/ARIAL SDF
Advisor/Aliens_TooManyAliens	현재 병원에는 평범한 인간으로 위장한 외계인이 많이 있습니다. 이들을 찾아서 당장 집으로 보내야합니다!\t
Advisor/CareerGoalComplete_CS	달성한 커리어 목표 : <style="AdvisorHighlight">{[OBJECTIVE]}</style>\n보상을 받으려면 지도의 커리어 목표 목록으로 이동하십시오.
Advisor/CareerGoalRewards_CS	투 포인트 보건부에서 받은 상 : <style="AdvisorHighlight">{[REWARD]}</style>
Advisor/Challenge_Completed	도전 완료 : <style="AdvisorHighlight">{[NAME]}</style>\n보상 : <style="AdvisorHighlight">{[REWARDS]}</style>
Advisor/Challenge_Failed	도전 실패 : <style="AdvisorHighlight">{[NAME]}</style>\n불이익 : <style="AdvisorHighlight">{[REWARDS]}</style>
Advisor/Challenge_HordeWave	웨이브 <style="AdvisorHighlight">{[WAVE]}</style>가 지금 시작됩니다!
Advisor/Challenge_HordeWave_Failed	마지막 웨이브 동안 {[PROCESSED]}명의 환자 중 {[CURED]}명을 치료했습니다. 안타깝게도 {[CURERATE]}의 치료율은 {[TARGET]}이 되어야하고 그 웨이브를 반복해야 합니다.
Advisor/Challenge_WaveObjectivesHordeWave_Failed	이제 총 {[PROCESSED]}명의 환자를 처리했으며 웨이브가 끝났지만 모든 웨이브 목표를 완료할 수 없었습니다. 불행히도 우리는 그 물결을 반복해야 합니다.
Advisor/CheckLeaderboards_CS	개요 화면의 순위표 탭을 확인하여 친구 및 경쟁 병원과 비교하여 자신의 상태를 확인하십시오.
Advisor/DLC_Opportunities	카운티의 <style="AdvisorHighlight">북쪽</style>및 <style="AdvisorHighlight">남쪽</style>에 재단을 위한 몇 가지 <style="AdvisorHighlight">새로운 기회</style>가 있습니다. 한 번 보시죠.
Advisor/DLC_Opportunities_AllOver	카운티 전역에 재단을 위한 몇 가지 <style="AdvisorHighlight">새로운 기회</style>가 있습니다. 주위를 둘러보세요.
Advisor/Finance_CashFlowWarning	병원이 지출을 감당할 수 없습니다. 줄여야 합니다... 아니면 돈을 더 벌던가요.
Advisor/Finance_LowMoney	우리 예산이 상당히 낮아지고 있습니다. 청구서를 감당할 수 있을지 모르겠습니다. 대출이라도 받아야 하지 않을까요?
Advisor/Finance_NegativeMoney	병원이 적자입니다. 대출을 받아야 할지도 몰라요.
Advisor/Finance_RefusedToPay_Diagnosis_CS	환자가 <style="AdvisorHighlight">{[ROOM]}</style>의 진단에 대해 <style="AdvisorHighlight">{[PRICE]}</style>지불을 거부했습니다. 가격이 너무 높을까요?
