"ID"	9
"STRINGS.#0.Advisor/Aliens_TooManyPaparazzi"	현재 병원에는 평범한 손님으로 위장한 파파라치가 많이 있습니다. 당신은 그들을 찾아서 즉시 집으로 보내야합니다!
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Advisor_Intro"	쇼의 제작자는 아이디어를 가지고있었습니다.
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Advisor_Outro_Failure_V1"	우리는 생산자의 요청을 이행하지 못했습니다.
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Advisor_Outro_Success_V1"	우리는 그들의 요청을 이행하기 위해 생산자들로부터 <style = ""AdvisorHighlight ""> {[REWARDS]} </ style>를 받았습니다.
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Intro"	쇼의 제작자는 아이디어를 가지고 있습니다. 그렇게되면 추가 자금을 받게됩니다.
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Intro_Title"	프로듀서 아이디어
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Name"	프로듀서 아이디어
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Outro_Failure_V1"	생산자 요청 실패
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Outro_Success_V1"	완성 된 생산자 요청
"STRINGS.#0.Challenges/DLC_5/Objective_R10_TelevisionHospital_Target_Outro_Title"	프로듀서 아이디어
"STRINGS.#0.Challenges/DLC_5/Objective_Television_Tutorial_Description"	당신의 의학 걸작을 시작하십시오. 모든 이야기는 어딘가에서 시작됩니다.
"STRINGS.#0.Challenges/DLC_5/Objective_Television_Tutorial_Name"	파일럿 에피소드
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Arrival_Advisor"	더러워진 자아 환자들이 지금 도착합니다…
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Intro_Message"	페스티벌에서 휴대용 화장실이 쓰러져 대기중인 사람들에게 진흙을 뿌린 후 더러워진 자아가 발생했습니다. 음, 진흙 같았어요. \n이 그룹을 치료하면 보상을받을 수 있습니다. 여기로 보내야합니까?
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Intro_Message_V2"	페스티벌에서 한 무리의 참석자들이 다리의 피로를 느끼고 바닥에 앉으 려다 진흙 속으로 거의 사라진 후 페스티벌에서 Soiled Self가 발생했습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. ?
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Intro_Message_V3"	일부 조커가 ""진흙 싸움 ""을 시작하는 것이 재미있을 것이라고 생각한 후이 지역에서 더러워진 자아가 발생했습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. 여기로 보내야합니까?
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Intro_Title"	오염 된 자체 비상
"STRINGS.#0.Challenges/DLC_5/Patients_Mud_Name"	더러워진자가 환자
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Arrival_Advisor"	스턴트 트러블 환자들이 지금 도착합니다…
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Intro_Message"	스턴트 트러블이 발생했습니다. 자신의 스턴트를하는 배우들에 대한 실행으로 인해 복식이 병에 걸리고 일이 없어졌습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. 여기로 보내야합니까?
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Intro_Message_V2"	Jimbo 's Scooters, Capes & Jumpsuits의 깜짝 세일이 지역 사회의 건강에 부정적인 영향을 미쳐 지역에서 Stunt Trouble이 발생했습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. 여기로 보냈나요?
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Intro_Message_V3"	Roderick Cushion의 피를 흘리는 고전 ""Brisk and Livid ""를 최근 상영 한 후이 지역에서 Stunt Trouble이 발생했습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. 여기로 보내야합니까?
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Intro_Title"	스턴트 문제 긴급
"STRINGS.#0.Challenges/DLC_5/Patients_Stuntman_Name"	스턴트 문제 환자
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Arrival_Advisor"	개인 부품 환자가 지금 도착합니다…
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Intro_Message"	불량 메이크업 아티스트가 산업용 강도 의상 퍼티를 사용하고 애니메이션 장난감으로 엑스트라 그룹을 만든 후 해당 지역에서 Private Parts가 발생했습니다. \n이 그룹을 치료하면 보상을받을 수 있습니다. ?
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Intro_Message_V2"	벙글 사진에서 가족 영화의 클러스터가 개봉 된 후 Private Parts가 발생하여 지역 주민들의 내면의 아이들이 병에 걸렸을 정도까지 데려 왔습니다. \n이 그룹을 치료하면 보상을받을 것입니다. , 여기로 보내야합니까?
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Intro_Message_V3"	지역 장난감 공장에서 결함이있는 재고를 태우고 그로 인해 발생하는 연기로 인해 비가 특히 산성화되고 괴로워 진 후 해당 지역에서 Private Parts가 발생했습니다. \n이 그룹을 처리하면 보상을받을 수 있습니다. 여기?
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Intro_Title"	민간 부품 비상
"STRINGS.#0.Challenges/DLC_5/Patients_ToySoldier_Name"	개인 부품 환자
"STRINGS.#0.Challenges/DLC_5/VIP_Celebrity_Actor_R10_V1_Intro_Message"	영화 배우이자 TV에서 가장 좋아하는 의사 인 Roderick Cushion이 ""Back Wards ""에피소드를 촬영하고 있습니다. 그의 요원은 그가 들판을 뛰어 다니며 다리를 펴도록 할 것인지 물었습니다.\n그가 병원에 ​​감명을 받았다면 우리 평판에 좋을 수도 있고 기부를 할 수도 있습니다. 어떻게 생각해?
"STRINGS.#0.Challenges/DLC_5/VIP_Celebrity_Actor_R10_V2_Intro_Message"	영화 배우이자 가끔 칼로리 카운터 인 Roderick Cushion이 VIP 섹션을 찾으려고하는 지역에 있습니다. 그의 요원은 그를 병원 주변에 보여줌으로써주의를 분산시킬 것인지 물었습니다.\n그가 병원에 ​​감명을 받았다면 우리의 평판에 좋을 수도 있고 기부를 할 수도 있습니다. 어떻게 생각해?
"STRINGS.#0.Challenges/DLC_5/VIP_Celebrity_Actor_R10_V3_Intro_Message"	영화 배우이자 초보 조류 관찰자 인 Roderick Cushion은 머드 버리 호크 보호 구역에 청동 채 핀치를 기부 한 후이 지역에 있습니다. 그의 에이전트는 그의 막대한 부를 계속해서 증가하고 있음에도 불구하고 무료로 페스티벌에 참가할 수 있는지 물었습니다.\n그가 병원에 ​​감명을 받았다면 우리의 평판에 좋을 수도 있고 기부를 할 수도 있습니다. 어떻게 생각해?
