ARIAL SDF	Fonts & Materials/ARIAL SDF		
Advisor/Aliens_TooManyAliens	There are currently a lot of aliens in your hospital disguised as ordinary humans. You need to find them and send them home immediately!			
Advisor/CareerGoalComplete_CS	Career Goal Achieved: <style="AdvisorHighlight">{[OBJECTIVE]}</style>\nTo collect your reward, go to the career goals list on the map.		
Advisor/CareerGoalRewards_CS	The Two Point Health Ministry has awarded you: <style="AdvisorHighlight">{[REWARD]}</style>		
Advisor/Challenge_Completed	Challenge Completed: <style="AdvisorHighlight">{[NAME]}</style>\nReward: <style="AdvisorHighlight">{[REWARDS]}</style>		
Advisor/Challenge_Failed	Challenge Failed: <style="AdvisorHighlight">{[NAME]}</style>\nPenalty: <style="AdvisorHighlight">{[REWARDS]}</style>		
Advisor/Challenge_HordeWave	Wave <style="AdvisorHighlight">{[WAVE]}</style> is starting now!		
Advisor/Challenge_HordeWave_Failed	We cured {[CURED]} of {[PROCESSED]} patients during the last wave. Unfortunately, our cure rate of {[CURERATE]} needed to be {[TARGET]} and we'll need to repeat that wave.		
Advisor/Challenge_WaveObjectivesHordeWave_Failed	We've now processed all {[PROCESSED]} patients, the wave is over, but we weren't able to complete all the Wave Objectives. Unfortunately, we'll need to repeat that wave.		
Advisor/CheckLeaderboards_CS	Check the Leaderboards tab, in the Overview screen, to see how you're doing compared to your friends and rival hospitals.		
Advisor/DLC_Opportunities	There are some <style="AdvisorHighlight">new opportunities</style> for our organisation in the <style="AdvisorHighlight">North</style> and <style="AdvisorHighlight">South</style> of the County. Take a look.		
Advisor/DLC_Opportunities_AllOver	There are some <style="AdvisorHighlight">new opportunities</style> for our organisation all over the County. Take a look around.		
Advisor/Finance_CashFlowWarning	The hospital isn't covering its costs. We should consider lowering our outgoings... or making more money.		
Advisor/Finance_LowMoney	Our money is getting quite low and I'm not sure we can afford our bills. Do you think we need a loan?		
Advisor/Finance_NegativeMoney	The hospital is in debt. Maybe we should take out a loan.		
Advisor/Finance_RefusedToPay_Diagnosis_CS	A patient has refused to pay <style="AdvisorHighlight">{[PRICE]}</style> for diagnosis in the <style="AdvisorHighlight">{[ROOM]}</style>. Maybe prices are too high?		
Advisor/Finance_RefusedToPay_Item_CS	A patient has refused to pay <style="AdvisorHighlight">{[PRICE]}</style> for a <style="AdvisorHighlight">{[ITEM]}</style>. Maybe prices are too high?		
Advisor/Finance_RefusedToPay_Treatment_CS	A patient has refused to pay <style="AdvisorHighlight">{[PRICE]}</style> for treatment of <style="AdvisorHighlight">{[ILLNESS]}</style> in the <style="AdvisorHighlight">{[ROOM]}</style>. Maybe prices are too high?		
Advisor/General_LowHygiene	Hygiene levels in the hospital are getting unpleasantly low. You could consider adding sinks or placing sanitiser dispensers.		
Advisor/General_LowReputation	The hospital is starting to get a bad reputation.		
Advisor/General_LowReputation_Medical	Curing more of the patients visiting the hospital would help improve our Hospital Reputation.		
Advisor/General_LowReputation_Patient	Keeping patients happier would help to improve our Hospital Reputation.		
Advisor/General_LowReputation_Prices	Reducing prices a bit would help to improve our Hospital Reputation		
Advisor/General_LowReputation_Special	Getting some better publicity would help to improve our Hospital Reputation. Try impressing VIPs or doing some marketing.		
Advisor/General_LowReputation_Staff	Making our staff happier would help improve our Hospital Reputation.		
Advisor/General_NeedMoreCardiologyRooms	There's a queue outside of Cardiology. Is it worth building another room?		
Advisor/General_NeedMoreChromatherapyRooms	There's a queue outside of Chromatherapy. Is it worth building another room?		
Advisor/General_NeedMoreClownClinicRooms	There's a queue outside of a Clown Clinic. Is it worth building another one?		
Advisor/General_NeedMoreCryptologyRooms	There's a queue outside of Cryptology. Is it worth building another room?		
Advisor/General_NeedMoreDNALabRooms	There's a queue outside of a DNA Lab. Is it worth building another one?		
Advisor/General_NeedMoreDeLuxClinicRooms	There's a queue outside of a De-Lux Clinic. Is it worth building another one?		
Advisor/General_NeedMoreFluidAnalysisRooms	There's a queue outside of Fluid Analysis. Is it worth building another room?		
Advisor/General_NeedMoreFractureWardRooms	There's a queue outside of a Fracture Ward. Is it worth building another one?		
Advisor/General_NeedMoreGPRooms	There's a queue outside of a GP's Office. Is it worth building another one?		
Advisor/General_NeedMoreGeneralDiagnosisRooms	There's a queue outside of General Diagnosis. Is it worth building another room?		
Advisor/General_NeedMoreHeadOfficeRooms	There's a queue outside of a Head Office. Is it worth building another one?		
Advisor/General_NeedMoreInectionRooms	There's a queue outside of an Injection Room. Is it worth building another one?		
Advisor/General_NeedMoreMEGAScanRooms	There's a queue outside of M.E.G.A Scan. Is it worth building another room?		
Advisor/General_NeedMorePansLabRooms	There's a queue outside of a Pans Lab. Is it worth building another one?		
Advisor/General_NeedMorePestControlRooms	There's a queue outside of Pest Control. Is it worth building another room?		
Advisor/General_NeedMorePharmacyRooms	There's a queue outside of a Pharmacy. Is it worth building another one?		
Advisor/General_NeedMorePsychiatryRooms	There's a queue outside of Psychiatry. Is it worth building another room?		
Advisor/General_NeedMoreRecurveryRooms	There's a queue outside of a Recurvery Room. Is it worth building another one?		
Advisor/General_NeedMoreResolutionLabRooms	There's a queue outside of a Resolution Lab. Is it worth building another one?		
Advisor/General_NeedMoreShockClinicRooms	There's a queue outside of a Shock Clinic. Is it worth building another one?		
Advisor/General_NeedMoreSurgeryRooms	There's a queue outside of Surgery. Is it worth building another room?		
Advisor/General_NeedMoreWardRooms	There's a queue outside of a Ward. Is it worth building another one?		
Advisor/General_NeedMoreXRayRooms	There's a queue outside of X-Ray. Is it worth building another room?		
Advisor/HospitalLevel_Increase	Well done, the <style="AdvisorHighlight">Hospital Level</style> has increased.\nKeep expanding to attract more patients and staff.		
Advisor/Item_Unlocked_CS	<style="AdvisorHighlight">{[UNLOCK]}</style> unlocked!		
Advisor/Maintenance_BlockedToilets	There are a lot of blocked toilets in the hospital and it's starting to become rather unhygienic. You could hire more janitors.		
Advisor/Maintenance_BlockedToiletsNoJanitor	There are a lot of blocked toilets in the hospital. Hire a Janitor, from the Hire menu, and they'll take care of it.		
Advisor/Maintenance_BrokenMachine	Our {[ITEM]} needs maintenance. A Janitor will be called to carry out repairs, to make sure it doesn't become a fire hazard.		
Advisor/Maintenance_BrokenMachineNoJanitors	Our {[ITEM]} needs maintenance. Hire a Janitor, from the Hire menu, to carry out repairs.		
Advisor/Maintenance_LotsOfLitter	There's a lot of litter around the hospital. You should consider placing more bins.		
Advisor/Maintenance_LotsOfLitterNoJanitor	There's a lot of litter around the hospital. You should consider placing more bins and hiring a Janitor, from the Hire menu, to keep them clean.		
Advisor/Maintenance_MachineUpgrade	We can upgrade our <style="AdvisorHighlight">{[MACHINE]}</style> to make it more effective. If you select the item and choose to upgrade it, a Janitor trained in {[QUALIFICATION]} can apply the upgrade.		
Advisor/Maintenance_MedicalWaste	There's a lot of 'medical waste' on the floor. Some patients have made complaints. You might need more Janitors to clean it up.		
Advisor/Maintenance_MedicalWasteNoJanitors	There's a lot of 'medical waste' on the floor. Some patients have made complaints. You may need to hire Janitors, from the Hire menu, to clean it up.		
Advisor/Maintenance_OutOfStock	Several of our vending machines are out of stock. You could hire more janitors to keep them well stocked.		
Advisor/Maintenance_OutOfStockNoJanitors	Several of our vending machines are out of stock. You can hire a Janitor, from the Hire menu, to take care of it.		
Advisor/Maintenance_Plants	Quite a few plants are wilting and it's making the patients miserable. Try hiring more janitors to keep them watered.		
Advisor/Maintenance_PlantsNoJanitors	Quite a few plants are looking limp and it's making the patients miserable. You can hire a Janitor, from the Hire menu, to keep them watered.		
Advisor/MarketingCampaignComplete_CS	Marketing Campaign Completed: <style="AdvisorHighlight">{[CAMPAIGN]}</style>		
