Fonts & Materials/ARIAL SDF	
There are currently a lot of aliens in your hospital disguised as ordinary humans. You need to find them and send them home immediately!	현재 병원에는 평범한 인간으로 위장한 외계인이 많이 있습니다. 당신은 그들을 찾아서 즉시 집으로 보내야합니다!   
"Career Goal Achieved: <style=""AdvisorHighlight"">{[OBJECTIVE]}</style>\nTo collect your reward, go to the career goals list on the map."	"달성 한 경력 목표 : <style = ""AdvisorHighlight""> {[OBJECTIVE]} </ style> \ n 보상을 받으려면지도의 경력 목표 목록으로 이동하십시오."
"The Two Point Health Ministry has awarded you: <style=""AdvisorHighlight"">{[REWARD]}</style>"	"Two Point Health Ministry에서 수여 한 수여 : <style = ""AdvisorHighlight""> {[REWARD]} </ style>"
"Challenge Completed: <style=""AdvisorHighlight"">{[NAME]}</style>\nReward: <style=""AdvisorHighlight"">{[REWARDS]}</style>"	"챌린지 완료 : <style = ""AdvisorHighlight""> {[NAME]} </ style> \ n 보상 : <style = ""AdvisorHighlight""> {[REWARDS]} </ style>"
"Challenge Failed: <style=""AdvisorHighlight"">{[NAME]}</style>\nPenalty: <style=""AdvisorHighlight"">{[REWARDS]}</style>"	"챌린지 실패 : <style = ""AdvisorHighlight""> {[NAME]} </ style> \ n 벌칙 : <style = ""AdvisorHighlight""> {[REWARDS]} </ style>"
"Wave <style=""AdvisorHighlight"">{[WAVE]}</style> is starting now!"	"Wave <style = ""AdvisorHighlight""> {[WAVE]} </ style>가 지금 시작됩니다!"
"We cured {[CURED]} of {[PROCESSED]} patients during the last wave. Unfortunately, our cure rate of {[CURERATE]} needed to be {[TARGET]} and we'll need to repeat that wave."	마지막 웨이브 동안 {[PROCESSED]} 명의 환자 중 {[CURED]}를 치료했습니다. 안타깝게도 {[CURERATE]}의 치료율은 {[TARGET]}이되어야하고 그 웨이브를 반복해야합니다.
"We've now processed all {[PROCESSED]} patients, the wave is over, but we weren't able to complete all the Wave Objectives. Unfortunately, we'll need to repeat that wave."	이제 모든 {[PROCESSED]} 명의 환자를 처리했으며 웨이브가 끝났지 만 모든 웨이브 목표를 완료 할 수 없었습니다. 불행히도 우리는 그 물결을 반복해야합니다.
"Check the Leaderboards tab, in the Overview screen, to see how you're doing compared to your friends and rival hospitals."	개요 화면의 순위표 탭을 확인하여 친구 및 경쟁 병원과 비교하여 자신의 상태를 확인하십시오.
"There are some <style=""AdvisorHighlight"">new opportunities</style> for our organisation in the <style=""AdvisorHighlight"">North</style> and <style=""AdvisorHighlight"">South</style> of the County. Take a look."	"카운티의 <style = ""AdvisorHighlight""> 북쪽 </ style> 및 <style = ""AdvisorHighlight""> 남쪽 </ style>에 우리 조직을위한 몇 가지 <style = ""AdvisorHighlight""> 새로운 기회 </ style>가 있습니다. 구경하다."
"There are some <style=""AdvisorHighlight"">new opportunities</style> for our organisation all over the County. Take a look around."	"카운티 전역에 우리 조직을위한 몇 가지 <style = ""AdvisorHighlight""> 새로운 기회 </ style>가 있습니다. 주위를 둘러보세요."
The hospital isn't covering its costs. We should consider lowering our outgoings... or making more money.	병원은 비용을 부담하지 않습니다. 지출을 낮추거나 더 많은 돈을 버는 것을 고려해야합니다.
Our money is getting quite low and I'm not sure we can afford our bills. Do you think we need a loan?	우리 돈이 상당히 낮아지고 있고 우리가 청구서를 감당할 수 있을지 모르겠습니다. 대출이 필요하다고 생각하십니까?
The hospital is in debt. Maybe we should take out a loan.	병원에 빚이 있습니다. 대출을 받아야 할지도 몰라요.
"A patient has refused to pay <style=""AdvisorHighlight"">{[PRICE]}</style> for diagnosis in the <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe prices are too high?"	"환자가 <style = ""AdvisorHighlight""> {[ROOM]} </ style>의 진단에 대해 <style = ""AdvisorHighlight""> {[PRICE]} </ style> 지불을 거부했습니다. 가격이 너무 높을까요?"
"A patient has refused to pay <style=""AdvisorHighlight"">{[PRICE]}</style> for a <style=""AdvisorHighlight"">{[ITEM]}</style>. Maybe prices are too high?"	"환자가 <style = ""AdvisorHighlight""> {[ITEM]} </ style>에 대해 <style = ""AdvisorHighlight""> {[PRICE]} </ style> 지불을 거부했습니다. 가격이 너무 높을까요?"
"A patient has refused to pay <style=""AdvisorHighlight"">{[PRICE]}</style> for treatment of <style=""AdvisorHighlight"">{[ILLNESS]}</style> in the <style=""AdvisorHighlight"">{[ROOM]}</style>. Maybe prices are too high?"	"환자가 <style = ""AdvisorHighlight"">에서 <style = ""AdvisorHighlight""> {[ILLNESS]} </ style> 치료에 대해 <style = ""AdvisorHighlight""> {[PRICE]} </ style> 지불을 거부했습니다. {[ROOM]} </ style>. 가격이 너무 높을까요?"
Hygiene levels in the hospital are getting unpleasantly low. You could consider adding sinks or placing sanitiser dispensers.	병원의 위생 수준이 불쾌하게 낮아지고 있습니다. 싱크대를 추가하거나 소독제 디스펜서를 배치하는 것을 고려할 수 있습니다.
The hospital is starting to get a bad reputation.	병원은 나쁜 평판을 받기 시작했습니다.
Curing more of the patients visiting the hospital would help improve our Hospital Reputation.	병원을 방문하는 환자를 더 많이 치료하면 병원 평판이 향상 될 것입니다.
Keeping patients happier would help to improve our Hospital Reputation.	환자를 더 행복하게 유지하면 병원 평판을 높이는 데 도움이됩니다.
Reducing prices a bit would help to improve our Hospital Reputation	가격을 조금 낮추면 병원 평판을 높이는 데 도움이됩니다.
Getting some better publicity would help to improve our Hospital Reputation. Try impressing VIPs or doing some marketing.	더 나은 홍보를하면 병원 평판을 높이는 데 도움이 될 것입니다. VIP에게 깊은 인상을 주거나 마케팅을 해보십시오.
Making our staff happier would help improve our Hospital Reputation.	직원을 더 행복하게 만드는 것은 병원 평판을 높이는 데 도움이 될 것입니다.
There's a queue outside of Cardiology. Is it worth building another room?	심장학 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of Chromatherapy. Is it worth building another room?	크로마 테라피 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Clown Clinic. Is it worth building another one?	광대 클리닉 밖에 줄이 있어요. 다른 것을 만들 가치가 있습니까?
There's a queue outside of Cryptology. Is it worth building another room?	Cryptology 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a DNA Lab. Is it worth building another one?	DNA 연구소 밖에 줄이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of a De-Lux Clinic. Is it worth building another one?	De-Lux Clinic 밖에 줄이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of Fluid Analysis. Is it worth building another room?	Fluid Analysis 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Fracture Ward. Is it worth building another one?	Fracture Ward 밖에 줄이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of a GP's Office. Is it worth building another one?	GP 사무실 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of General Diagnosis. Is it worth building another room?	일반 진단 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Head Office. Is it worth building another one?	본사 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of an Injection Room. Is it worth building another one?	주 입실 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of M.E.G.A Scan. Is it worth building another room?	MEGA Scan 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Pans Lab. Is it worth building another one?	Pans Lab 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of Pest Control. Is it worth building another room?	해충 구제 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Pharmacy. Is it worth building another one?	약국 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of Psychiatry. Is it worth building another room?	정신과 외부에 대기열이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Recurvery Room. Is it worth building another one?	Recurvery Room 밖에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of a Resolution Lab. Is it worth building another one?	Resolution Lab 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of a Shock Clinic. Is it worth building another one?	쇼크 클리닉 밖에 줄이 있습니다. 다른 것을 만들 가치가 있습니까?
There's a queue outside of Surgery. Is it worth building another room?	수술 밖에 줄이 있습니다. 다른 방을 지을 가치가 있습니까?
There's a queue outside of a Ward. Is it worth building another one?	와드 외부에 대기열이 있습니다. 다른 것을 만들 가치가 있습니까?
